case_id,dataset,question_type,image_path,question,ground_truth,prediction,is_correct,failure_label,retained_token_count,inference_seconds,manual_failure_cause,review_notes
GQA_VAL_001,GQA-val-balanced,rel,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,Right,False,open_answer_mismatch,18,1.1513910293579102,,
GQA_VAL_002,GQA-val-balanced,rel,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,Train,True,correct,18,0.5751307010650635,,
GQA_VAL_003,GQA-val-balanced,rel,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,Yes,True,correct,18,0.5419790744781494,,
GQA_VAL_004,GQA-val-balanced,rel,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,Surfboard,True,correct,18,0.6651182174682617,,
GQA_VAL_005,GQA-val-balanced,rel,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,Yes,False,binary_mismatch,18,0.5705239772796631,,
GQA_VAL_006,GQA-val-balanced,rel,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,Cow,True,correct,18,0.5717897415161133,,
GQA_VAL_007,GQA-val-balanced,rel,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,No,True,correct,18,0.5681707859039307,,
GQA_VAL_008,GQA-val-balanced,rel,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,Man,True,correct,18,0.5344977378845215,,
GQA_VAL_009,GQA-val-balanced,rel,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,Scarf,True,correct,18,0.6005644798278809,,
GQA_VAL_010,GQA-val-balanced,rel,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,Screen,False,open_answer_mismatch,18,0.5705077648162842,,
GQA_VAL_011,GQA-val-balanced,rel,data/sample_images/2356577.jpg,What is this woman holding?,racket,Tennis racket,True,correct,18,0.6633515357971191,,
GQA_VAL_012,GQA-val-balanced,rel,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,Wall,True,correct,18,0.574333906173706,,
GQA_VAL_013,GQA-val-balanced,rel,data/sample_images/2353048.jpg,Who is wearing the cap?,man,Man,True,correct,18,0.5470364093780518,,
GQA_VAL_014,GQA-val-balanced,rel,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,Microwave,False,open_answer_mismatch,18,0.66166090965271,,
GQA_VAL_015,GQA-val-balanced,attr,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,Left,False,open_answer_mismatch,18,0.5672123432159424,,
GQA_VAL_016,GQA-val-balanced,attr,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,No,True,correct,18,0.5662503242492676,,
GQA_VAL_017,GQA-val-balanced,attr,data/sample_images/2394857.jpg,Which side is the fence on?,right,Left,False,open_answer_mismatch,18,0.5348672866821289,,
GQA_VAL_018,GQA-val-balanced,attr,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,Pink,True,correct,18,0.6350605487823486,,
GQA_VAL_019,GQA-val-balanced,attr,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,Left,True,correct,18,0.573988676071167,,
GQA_VAL_020,GQA-val-balanced,attr,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,No,True,correct,18,0.5444400310516357,,
GQA_VAL_021,GQA-val-balanced,attr,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,Blue,True,correct,18,0.5331690311431885,,
GQA_VAL_022,GQA-val-balanced,attr,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,Yes,True,correct,18,0.533668041229248,,
GQA_VAL_023,GQA-val-balanced,attr,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,Yes,True,correct,18,0.531613826751709,,
GQA_VAL_024,GQA-val-balanced,attr,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,Left,False,open_answer_mismatch,18,0.5363829135894775,,
GQA_VAL_025,GQA-val-balanced,attr,data/sample_images/2342827.jpg,On which side is the cabbage?,left,Left,True,correct,18,0.5427768230438232,,
GQA_VAL_026,GQA-val-balanced,attr,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,Yes,True,correct,18,0.5707335472106934,,
GQA_VAL_027,GQA-val-balanced,attr,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,Snowy,True,correct,18,0.6014323234558105,,
GQA_VAL_028,GQA-val-balanced,attr,data/sample_images/2393496.jpg,Is the tie black or blue?,black,Blue,False,open_answer_mismatch,18,0.5355520248413086,,
GQA_VAL_029,GQA-val-balanced,obj,data/sample_images/2345111.jpg,Are there any chairs?,yes,Yes,True,correct,18,0.5496742725372314,,
GQA_VAL_030,GQA-val-balanced,obj,data/sample_images/2339668.jpg,Are there any umbrellas or bags?,yes,No,False,binary_mismatch,18,0.5302884578704834,,
GQA_VAL_031,GQA-val-balanced,obj,data/sample_images/2361211.jpg,Are there couches or lobsters in this picture?,no,No,True,correct,18,0.5711498260498047,,
GQA_VAL_032,GQA-val-balanced,obj,data/sample_images/2339742.jpg,Are there fences or fire hydrants?,no,No,True,correct,18,0.5370335578918457,,
GQA_VAL_033,GQA-val-balanced,obj,data/sample_images/1618.jpg,Is there any white chair or keyboard in this picture?,yes,Yes,True,correct,18,0.5390424728393555,,
GQA_VAL_034,GQA-val-balanced,obj,data/sample_images/2324799.jpg,Are there green fences or fire hydrants?,yes,Yes,True,correct,18,0.5343115329742432,,
GQA_VAL_035,GQA-val-balanced,obj,data/sample_images/2406339.jpg,Do you see kites or pictures in the image?,no,No,True,correct,18,0.5686016082763672,,
GQA_VAL_036,GQA-val-balanced,obj,data/sample_images/2417813.jpg,Are there both a bottle and a pot in the photo?,yes,No,False,binary_mismatch,18,0.5875148773193359,,
GQA_VAL_037,GQA-val-balanced,obj,data/sample_images/2329930.jpg,Are there both a table and a bottle in this photograph?,no,No,True,correct,18,0.5727424621582031,,
GQA_VAL_038,GQA-val-balanced,obj,data/sample_images/2327025.jpg,Are there any chairs or umbrellas in the image?,no,No,True,correct,18,0.5761260986328125,,
GQA_VAL_039,GQA-val-balanced,obj,data/sample_images/2377602.jpg,Are there chimneys or skateboards?,no,No,True,correct,18,0.545525074005127,,
GQA_VAL_040,GQA-val-balanced,obj,data/sample_images/2349636.jpg,Are there either gifts or kites in the image?,no,No,True,correct,18,0.5372960567474365,,
GQA_VAL_041,GQA-val-balanced,obj,data/sample_images/2322425.jpg,Is there a kite or a flag in this photo?,yes,Yes,True,correct,18,0.5411248207092285,,
GQA_VAL_042,GQA-val-balanced,obj,data/sample_images/2342741.jpg,Do you see a bench or a clock in the picture?,no,No,True,correct,18,0.5859332084655762,,
GQA_VAL_043,GQA-val-balanced,cat,data/sample_images/2392767.jpg,What food item isn't large?,carrot,Carrot,True,correct,18,0.5968739986419678,,
GQA_VAL_044,GQA-val-balanced,cat,data/sample_images/2394278.jpg,Which kind of food is fried?,egg,Egg,True,correct,18,0.6040976047515869,,
GQA_VAL_045,GQA-val-balanced,cat,data/sample_images/2381241.jpg,How is the black item of clothing called?,suit,Suit,True,correct,18,0.599837064743042,,
GQA_VAL_046,GQA-val-balanced,cat,data/sample_images/2385159.jpg,What piece of furniture is it?,desk,Desk,True,correct,18,0.5943989753723145,,
GQA_VAL_047,GQA-val-balanced,cat,data/sample_images/2341009.jpg,Which kind is this vehicle?,carriage,Carriage,True,correct,18,0.5982115268707275,,
GQA_VAL_048,GQA-val-balanced,cat,data/sample_images/2414298.jpg,Who is waiting?,passengers,Train,False,open_answer_mismatch,18,0.5319230556488037,,
GQA_VAL_049,GQA-val-balanced,cat,data/sample_images/2347569.jpg,What is the name of the clothing item that is heavy?,jacket,Coat,False,open_answer_mismatch,18,0.6411547660827637,,
GQA_VAL_050,GQA-val-balanced,cat,data/sample_images/2417911.jpg,What kind of clothing is not white?,suit,Hat,False,open_answer_mismatch,18,0.5427968502044678,,
GQA_VAL_051,GQA-val-balanced,cat,data/sample_images/2410505.jpg,Is this a cabinet or a lamp?,lamp,Cabinet,False,open_answer_mismatch,18,0.6007189750671387,,
GQA_VAL_052,GQA-val-balanced,cat,data/sample_images/2377228.jpg,How is the blue clothing item called?,shirt,Polo shirt,True,correct,18,0.718003511428833,,
GQA_VAL_053,GQA-val-balanced,cat,data/sample_images/2417254.jpg,"What is this, a scooter or a bicycle?",scooter,Bicycle,False,open_answer_mismatch,18,0.6935162544250488,,
GQA_VAL_054,GQA-val-balanced,cat,data/sample_images/2353840.jpg,Is this a mirror or a bed?,bed,Bed,True,correct,18,0.5359766483306885,,
GQA_VAL_055,GQA-val-balanced,cat,data/sample_images/2389290.jpg,What is the vehicle that is not long?,car,Car,True,correct,18,0.5360338687896729,,
GQA_VAL_056,GQA-val-balanced,cat,data/sample_images/2376307.jpg,Which kind of clothing is not gray?,glove,Glove,True,correct,18,0.5963678359985352,,
GQA_VAL_057,GQA-val-balanced,global,data/sample_images/2386024.jpg,Is it outdoors?,yes,Yes,True,correct,18,0.5298380851745605,,
GQA_VAL_058,GQA-val-balanced,global,data/sample_images/2085.jpg,Where was the photo taken?,street,Street,True,correct,18,0.5516452789306641,,
GQA_VAL_059,GQA-val-balanced,global,data/sample_images/2321343.jpg,Which place is pictured?,patio,Pavement,False,open_answer_mismatch,18,0.5965132713317871,,
GQA_VAL_060,GQA-val-balanced,global,data/sample_images/2417395.jpg,Is it indoors?,no,No,True,correct,18,0.5549108982086182,,
GQA_VAL_061,GQA-val-balanced,global,data/sample_images/2414056.jpg,Which place is it?,beach,Beach,True,correct,18,0.5399489402770996,,
GQA_VAL_062,GQA-val-balanced,global,data/sample_images/2328506.jpg,What weather conditions appear?,cloudless,Rain,False,open_answer_mismatch,18,0.5289978981018066,,
